,song_y,Similarity,song_x,artist_y,song_y_name,artist_id_y,artist_x,song_x_name,artist_id_x
136,10406,0.1130681124489071,31365,Foo Fighters,The Best Of You,151,Selena Gomez,I Won't Apologize,467
137,10378,0.11063473768451398,31367,Foo Fighters,Have A Cigar,151,Selena Gomez,As A Blonde,467
138,10457,0.06585315548888754,31367,Foo Fighters,X-Static,151,Selena Gomez,As A Blonde,467
139,10373,0.10845459867340741,10396,Foo Fighters,For All The Cows,151,Foo Fighters,Mountain Of You,151
140,31586,0.10806087157065068,31594,Snoop Dogg,Cold Game,472,Snoop Dogg,I Can't Swim,472
141,10415,0.10272197381010759,10443,Foo Fighters,Ain't It The Life,151,Foo Fighters,Statues,151
142,10423,0.10194088977850464,10443,Foo Fighters,Dear Rosemary,151,Foo Fighters,Statues,151
143,10382,0.054386350321739864,10443,Foo Fighters,Holiday In Cambodia,151,Foo Fighters,Statues,151
144,10394,0.10228963039856515,10415,Foo Fighters,Life Of Illusion,151,Foo Fighters,Ain't It The Life,151
145,10417,0.09984342796494051,10446,Foo Fighters,Arlandria,151,Foo Fighters,The Deepest Blues Are Black,151
146,10428,0.09885450182553371,10450,Foo Fighters,Long Road To Ruin,151,Foo Fighters,Virginia Moon,151
147,10403,0.09425537955855956,10426,Foo Fighters,Skin And Bones,151,Foo Fighters,Live-In Skin,151
148,10387,0.09077872794214042,10391,Foo Fighters,I'm In Love With A German Film Star,151,Foo Fighters,Just Another Story About Skeeter Thompson,151
149,31367,0.08821055230779846,31618,Selena Gomez,As A Blonde,467,Snoop Dogg,Doggyland,472
150,10429,0.06553685771665756,31618,Foo Fighters,Milk,151,Snoop Dogg,Doggyland,472
151,10430,0.08414854820760594,31368,Foo Fighters,Miss The Misery,151,Selena Gomez,Beat,467
152,10411,0.08401880173032643,10412,Foo Fighters,Whippin' Picadilly,151,Foo Fighters,White Limo,151
153,10421,0.08304388978447147,31364,Foo Fighters,Damn You Damn Everyone,151,Selena Gomez,Hands To Myself,467
154,10402,0.08285452724282176,31597,Foo Fighters,Sister Europe,151,Snoop Dogg,I'm Threw Witchu,472
155,10451,0.08213428857010857,31621,Foo Fighters,Walking A Line,151,Snoop Dogg,Don't Fight The Feelin',472
156,10407,0.07976340720129484,10413,Foo Fighters,This Is A Call,151,Foo Fighters,A320,151
157,10380,0.07412813530686112,10428,Foo Fighters,Hell's Garden,151,Foo Fighters,Long Road To Ruin,151
158,10425,0.06979738501767767,31609,Foo Fighters,Headwires,151,Snoop Dogg,Betta Days,472
159,10438,0.0646819574874053,31609,Foo Fighters,Razor,151,Snoop Dogg,Betta Days,472
160,10400,0.06805262506203683,10434,Foo Fighters,Seda,151,Foo Fighters,No Way Back,151
161,10377,0.066244746597036,31584,Foo Fighters,Good Grief,151,Snoop Dogg,Been Around Tha World,472
162,10456,0.045305037499271866,31590,Foo Fighters,Word Forward,151,Snoop Dogg,G Funk Intro,472
